,Heart Rate,Time
0,0,00:00:00
1,10,00:15:00
2,12,00:30:00
3,0,00:45:00
4,0,01:00:00
5,6,01:15:00
6,22,01:30:00
7,0,01:45:00
8,0,02:00:00
9,0,02:15:00
10,0,02:30:00
11,0,02:45:00
12,0,03:00:00
13,0,03:15:00
14,0,03:30:00
15,0,03:45:00
16,0,04:00:00
17,0,04:15:00
18,0,04:30:00
19,0,04:45:00
20,0,05:00:00
21,0,05:15:00
22,0,05:30:00
23,0,05:45:00
24,0,06:00:00
25,0,06:15:00
26,0,06:30:00
27,0,06:45:00
28,0,07:00:00
29,0,07:15:00
30,0,07:30:00
31,0,07:45:00
32,0,08:00:00
33,87,08:15:00
34,581,08:30:00
35,588,08:45:00
36,226,09:00:00
37,815,09:15:00
38,1649,09:30:00
39,1491,09:45:00
40,1504,10:00:00
41,1436,10:15:00
42,836,10:30:00
43,654,10:45:00
44,15,11:00:00
45,126,11:15:00
46,17,11:30:00
47,0,11:45:00
48,0,12:00:00
49,59,12:15:00
50,99,12:30:00
51,0,12:45:00
52,6,13:00:00
53,0,13:15:00
54,0,13:30:00
55,0,13:45:00
56,40,14:00:00
57,73,14:15:00
58,0,14:30:00
59,0,14:45:00
60,6,15:00:00
61,0,15:15:00
62,0,15:30:00
63,0,15:45:00
64,29,16:00:00
65,296,16:15:00
66,889,16:30:00
67,1173,16:45:00
68,969,17:00:00
69,0,17:15:00
70,14,17:30:00
71,8,17:45:00
72,26,18:00:00
73,11,18:15:00
74,4,18:30:00
75,675,18:45:00
76,1304,19:00:00
77,495,19:15:00
78,321,19:30:00
79,9,19:45:00
80,149,20:00:00
81,40,20:15:00
82,39,20:30:00
83,7,20:45:00
84,9,21:00:00
85,0,21:15:00
86,0,21:30:00
87,7,21:45:00
88,0,22:00:00
89,28,22:15:00
90,172,22:30:00
91,123,22:45:00
92,0,23:00:00
93,6,23:15:00
94,21,23:30:00
95,21,23:45:00
