,Heart Rate,Time
318,64,00:40:59
319,65,00:41:09
320,65,00:41:24
321,64,00:41:29
322,65,00:41:34
323,65,00:41:49
324,64,00:41:54
325,65,00:41:59
326,64,00:42:04
327,65,00:42:09
328,66,00:42:14
329,65,00:42:19
330,63,00:42:24
331,64,00:42:34
332,63,00:42:39
333,64,00:42:49
334,65,00:42:59
335,66,00:43:06
336,64,00:43:11
337,63,00:43:16
338,64,00:43:26
339,65,00:43:31
340,64,00:43:36
341,65,00:43:41
342,64,00:43:46
343,63,00:43:51
344,65,00:43:56
345,65,00:44:11
346,66,00:44:16
347,65,00:44:21
348,64,00:44:31
349,63,00:44:36
350,64,00:44:46
351,63,00:44:51
352,65,00:45:06
353,64,00:45:11
354,62,00:45:16
355,63,00:45:26
356,64,00:45:36
357,65,00:45:41
358,64,00:45:46
359,63,00:45:56
360,62,00:46:06
361,63,00:46:11
362,63,00:46:18
363,64,00:46:23
364,65,00:46:28
365,64,00:46:33
366,63,00:46:38
367,64,00:46:43
368,65,00:46:48
369,67,00:46:53
370,65,00:46:58
371,62,00:47:03
372,63,00:47:18
373,65,00:47:23
374,66,00:47:33
375,64,00:47:43
376,63,00:47:48
377,62,00:47:58
378,63,00:48:03
379,62,00:48:13
380,64,00:48:18
381,65,00:48:28
382,66,00:48:38
383,65,00:48:43
384,63,00:48:48
385,64,00:48:53
386,65,00:48:58
387,66,00:49:03
388,67,00:49:08
389,67,00:49:14
390,66,00:49:19
391,65,00:49:24
392,64,00:49:29
393,66,00:49:44
394,65,00:49:49
395,64,00:49:59
396,63,00:50:14
397,64,00:50:29
398,65,00:50:44
399,66,00:50:49
400,65,00:50:54
401,63,00:50:59
402,61,00:51:04
403,62,00:51:09
404,63,00:51:14
405,62,00:51:24
406,63,00:51:29
407,64,00:51:34
408,65,00:51:39
409,63,00:51:54
410,64,00:51:59
411,64,00:52:14
412,61,00:52:24
413,63,00:52:34
414,65,00:52:39
415,63,00:52:49
416,62,00:52:56
417,63,00:53:01
418,63,00:53:16
419,62,00:53:26
420,63,00:53:36
421,64,00:53:41
422,65,00:53:51
423,64,00:53:56
424,63,00:54:06
425,64,00:54:11
426,64,00:54:26
427,67,00:54:31
428,64,00:54:36
429,62,00:54:41
430,63,00:54:46
431,65,00:54:56
432,64,00:55:01
433,63,00:55:06
434,64,00:55:16
435,63,00:55:31
436,64,00:55:46
437,63,00:55:56
438,64,00:56:01
439,65,00:56:11
440,64,00:56:16
441,64,00:56:31
442,62,00:56:36
443,61,00:56:43
444,63,00:56:58
445,64,00:57:03
446,63,00:57:08
447,63,00:57:23
448,62,00:57:28
449,63,00:57:33
450,64,00:57:43
451,63,00:57:53
452,64,00:58:08
453,65,00:58:13
454,64,00:58:18
455,63,00:58:23
456,64,00:58:38
457,63,00:58:48
458,64,00:58:53
459,63,00:59:08
460,64,00:59:18
461,65,00:59:23
462,64,00:59:28
463,61,00:59:33
464,63,00:59:43
465,64,00:59:53
466,65,01:00:03
467,84,01:00:13
468,87,01:00:20
469,69,01:00:25
470,66,01:00:30
471,62,01:00:35
472,60,01:00:40
473,57,01:00:45
474,56,01:00:50
475,55,01:00:55
476,54,01:01:00
477,55,01:01:05
478,56,01:01:15
479,57,01:01:20
480,58,01:01:35
481,59,01:01:40
482,58,01:01:45
483,56,01:01:50
484,57,01:01:55
485,58,01:02:05
486,59,01:02:15
487,58,01:02:20
488,57,01:02:30
489,56,01:02:35
490,57,01:02:45
491,59,01:02:50
492,60,01:02:55
493,59,01:03:02
494,58,01:03:17
495,58,01:03:32
496,59,01:03:37
497,60,01:03:42
498,58,01:03:47
499,59,01:03:52
500,58,01:03:57
501,56,01:04:02
502,57,01:04:12
503,58,01:04:17
504,58,01:04:32
505,57,01:04:37
506,58,01:04:42
507,57,01:04:52
508,56,01:04:57
509,59,01:05:02
510,58,01:05:07
511,57,01:05:12
512,58,01:05:17
513,61,01:05:22
514,63,01:05:27
515,62,01:05:32
516,63,01:05:42
517,61,01:05:52
518,60,01:05:57
519,59,01:06:02
520,59,01:06:08
521,61,01:06:13
522,62,01:06:18
523,63,01:06:23
524,65,01:06:28
525,63,01:06:38
526,59,01:06:43
527,57,01:06:48
528,59,01:06:53
529,60,01:06:58
530,59,01:07:03
531,62,01:07:18
532,64,01:07:23
533,65,01:07:28
534,64,01:07:43
535,65,01:07:48
536,63,01:07:58
537,62,01:08:13
538,61,01:08:18
539,59,01:08:23
540,60,01:08:33
541,63,01:08:38
542,64,01:08:48
543,61,01:08:53
544,60,01:08:58
545,62,01:09:03
546,60,01:09:08
547,60,01:09:15
548,59,01:09:20
549,60,01:09:25
550,59,01:09:30
551,61,01:09:40
552,62,01:09:45
553,60,01:09:50
554,58,01:09:55
555,57,01:10:00
556,56,01:10:10
557,55,01:10:15
558,59,01:10:20
559,66,01:10:25
560,60,01:10:30
561,62,01:10:40
562,63,01:10:45
563,62,01:11:00
564,59,01:11:05
565,62,01:11:15
566,65,01:11:20
567,64,01:11:25
568,65,01:11:40
569,66,01:11:45
570,63,01:11:55
571,61,01:12:00
572,63,01:12:10
573,65,01:12:15
574,63,01:12:22
575,62,01:12:27
576,64,01:12:37
577,65,01:12:42
578,64,01:12:47
579,58,01:12:52
580,57,01:12:57
581,58,01:13:02
582,59,01:13:12
583,59,01:13:27
584,61,01:13:37
585,60,01:13:42
586,61,01:13:52
587,62,01:14:07
588,62,01:14:22
589,63,01:14:27
590,62,01:14:32
591,63,01:14:37
592,61,01:14:42
593,59,01:14:47
594,58,01:14:52
595,59,01:14:57
596,57,01:15:02
597,58,01:15:17
598,59,01:15:27
599,58,01:15:32
600,59,01:15:37
601,57,01:15:44
602,58,01:15:49
603,60,01:15:54
604,58,01:15:59
605,57,01:16:04
606,60,01:16:09
607,58,01:16:14
608,59,01:16:19
609,60,01:16:24
610,59,01:16:29
611,62,01:16:34
612,65,01:16:39
613,60,01:16:44
614,57,01:16:49
615,58,01:16:54
616,59,01:16:59
617,60,01:17:04
618,59,01:17:09
619,60,01:17:24
620,61,01:17:29
621,60,01:17:34
622,59,01:17:39
623,58,01:17:44
624,59,01:17:54
625,75,01:17:59
626,74,01:18:05
627,64,01:18:10
628,62,01:18:15
629,60,01:18:20
630,59,01:18:25
631,61,01:18:30
632,59,01:18:35
633,60,01:18:40
634,59,01:18:45
635,61,01:18:55
636,60,01:19:00
637,61,01:19:10
638,63,01:19:15
639,64,01:19:20
640,63,01:19:25
641,62,01:19:30
642,71,01:19:35
643,65,01:19:40
644,60,01:19:45
645,62,01:19:55
646,64,01:20:00
647,65,01:20:05
648,66,01:20:10
649,70,01:20:25
650,68,01:20:30
651,63,01:20:36
652,61,01:20:41
653,59,01:20:46
654,58,01:20:51
655,59,01:21:06
656,60,01:21:11
657,61,01:21:16
658,64,01:21:21
659,72,01:21:26
660,67,01:21:31
661,62,01:21:36
662,61,01:21:41
663,62,01:21:51
664,63,01:21:56
665,65,01:22:01
666,66,01:22:06
667,63,01:22:11
668,61,01:22:16
669,60,01:22:21
670,61,01:22:26
671,62,01:22:31
672,61,01:22:36
673,62,01:22:46
674,69,01:22:51
675,61,01:22:56
676,59,01:23:01
677,59,01:23:08
678,62,01:23:18
679,64,01:23:28
680,59,01:23:33
681,62,01:23:48
682,58,01:23:53
683,57,01:23:58
684,60,01:24:08
685,61,01:24:13
686,61,01:24:23
687,62,01:24:28
688,75,01:24:33
689,85,01:24:38
690,80,01:24:43
691,69,01:24:48
692,65,01:24:53
693,63,01:24:58
694,61,01:25:03
695,65,01:25:08
696,60,01:25:13
697,59,01:25:18
698,60,01:25:33
699,59,01:25:43
700,60,01:25:48
701,61,01:25:54
702,60,01:26:04
703,61,01:26:09
704,60,01:26:14
705,61,01:26:24
706,62,01:26:39
707,63,01:26:44
708,60,01:26:49
709,59,01:26:54
710,60,01:26:59
711,62,01:27:09
712,64,01:27:14
713,63,01:27:24
714,61,01:27:29
715,59,01:27:34
716,60,01:27:44
717,61,01:27:49
718,61,01:28:04
719,61,01:28:19
720,62,01:28:24
721,63,01:28:34
722,64,01:28:44
723,65,01:28:54
724,66,01:28:59
725,67,01:29:04
726,67,01:29:09
727,65,01:29:14
728,65,01:29:21
729,64,01:29:36
730,63,01:29:41
731,63,01:29:56
732,62,01:30:01
733,62,01:30:16
734,59,01:30:31
735,61,01:30:36
736,60,01:30:41
737,59,01:30:51
738,61,01:30:56
739,62,01:31:01
740,63,01:31:06
741,63,01:31:21
742,63,01:31:36
743,64,01:31:41
744,64,01:31:56
745,65,01:32:01
746,64,01:32:11
747,65,01:32:16
748,64,01:32:26
749,65,01:32:31
750,71,01:32:41
751,63,01:32:46
752,64,01:32:51
753,65,01:32:56
754,64,01:33:01
755,62,01:33:08
756,61,01:33:18
757,62,01:33:28
758,64,01:33:38
759,63,01:33:43
760,64,01:33:53
761,63,01:33:58
762,64,01:34:03
763,65,01:34:08
764,64,01:34:13
765,63,01:34:23
766,63,01:34:38
767,65,01:34:53
768,63,01:34:58
769,64,01:35:08
770,63,01:35:13
771,64,01:35:18
772,65,01:35:23
773,63,01:35:28
774,62,01:35:33
775,63,01:35:38
776,61,01:35:48
777,63,01:35:53
778,72,01:35:58
779,71,01:36:03
780,61,01:36:10
781,60,01:36:15
782,61,01:36:20
783,62,01:36:25
784,63,01:36:30
785,63,01:36:35
786,63,01:36:50
787,62,01:37:00
788,61,01:37:05
789,60,01:37:10
790,61,01:37:15
791,66,01:37:20
792,67,01:37:25
793,69,01:37:30
794,76,01:37:35
795,77,01:37:40
796,64,01:37:45
797,64,01:37:50
798,61,01:37:55
799,58,01:38:00
800,58,01:38:05
801,68,01:38:10
802,70,01:38:15
803,65,01:38:20
804,60,01:38:25
805,60,01:38:31
806,61,01:38:36
807,69,01:38:46
808,70,01:38:51
809,79,01:38:56
810,67,01:39:01
811,62,01:39:06
812,62,01:39:16
813,59,01:39:31
814,61,01:39:36
815,62,01:39:41
816,62,01:39:46
817,63,01:39:51
818,62,01:39:56
819,58,01:40:11
820,57,01:40:16
821,59,01:40:26
822,61,01:40:31
823,61,01:40:36
824,62,01:40:41
825,60,01:40:46
826,60,01:41:01
827,59,01:41:06
828,60,01:41:11
829,61,01:41:17
830,63,01:41:27
831,65,01:41:32
832,62,01:41:37
833,61,01:41:42
834,59,01:41:47
835,60,01:41:52
836,62,01:41:57
837,60,01:42:02
838,59,01:42:07
839,60,01:42:12
840,60,01:42:27
841,61,01:42:32
842,58,01:42:42
843,60,01:42:47
844,61,01:42:52
845,60,01:43:02
846,58,01:43:12
847,59,01:43:22
848,61,01:43:27
849,60,01:43:32
850,59,01:43:37
851,60,01:43:52
852,59,01:44:07
853,58,01:44:12
854,60,01:44:22
855,61,01:44:27
856,61,01:44:34
857,60,01:44:49
858,59,01:44:54
859,57,01:44:59
860,59,01:45:09
861,59,01:45:24
862,60,01:45:39
863,61,01:45:44
864,59,01:45:54
865,60,01:46:04
866,61,01:46:14
867,60,01:46:24
868,59,01:46:29
869,57,01:46:44
870,59,01:46:49
871,60,01:46:54
872,62,01:47:04
873,59,01:47:14
874,58,01:47:19
875,58,01:47:29
876,59,01:47:34
877,57,01:47:44
878,57,01:47:49
879,57,01:47:54
880,58,01:48:04
881,59,01:48:09
882,58,01:48:14
883,58,01:48:21
884,56,01:48:26
885,57,01:48:31
886,58,01:48:36
887,59,01:48:46
888,60,01:49:01
889,58,01:49:11
890,58,01:49:26
891,60,01:49:36
892,61,01:49:46
893,62,01:49:51
894,61,01:49:56
895,61,01:50:11
896,61,01:50:26
897,61,01:50:41
898,61,01:50:56
899,59,01:51:01
900,60,01:51:11
901,61,01:51:16
902,61,01:51:31
903,60,01:51:36
904,61,01:51:46
905,61,01:52:01
906,61,01:52:16
907,61,01:52:21
908,61,01:52:31
909,61,01:52:46
910,61,01:52:49
911,62,01:52:59
912,62,01:53:09
913,62,01:53:24
914,62,01:53:39
915,62,01:53:54
916,62,01:53:59
917,62,01:54:04
918,62,01:54:14
919,62,01:54:29
920,62,01:54:44
921,62,01:54:59
922,62,01:55:14
923,62,01:55:29
924,62,01:55:44
925,62,01:55:59
926,62,01:56:14
927,62,01:56:29
928,62,01:56:44
929,62,01:56:59
930,62,01:57:14
931,62,01:57:29
932,62,01:57:44
933,62,01:57:59
934,62,01:58:14
935,62,01:58:29
936,62,01:58:44
937,62,01:58:47
938,62,01:59:02
939,62,01:59:17
940,62,01:59:32
941,62,01:59:47
942,62,02:00:02
943,62,02:00:17
944,62,02:00:32
945,62,02:00:47
946,62,02:01:02
947,62,02:01:17
948,62,02:01:32
949,62,02:01:47
950,62,02:02:02
951,62,02:02:17
952,62,02:02:32
953,62,02:02:47
954,62,02:03:02
955,62,02:03:17
956,62,02:03:32
957,62,02:03:47
958,62,02:04:02
959,62,02:04:17
960,62,02:04:32
961,62,02:04:47
962,62,02:05:02
963,62,02:05:17
964,62,02:05:20
965,62,02:05:35
966,62,02:05:50
967,62,02:06:05
968,62,02:06:20
969,62,02:06:35
970,62,02:06:50
971,62,02:07:05
972,62,02:07:20
973,62,02:07:35
974,62,02:07:50
975,62,02:08:05
976,62,02:08:20
977,62,02:08:35
978,62,02:08:50
979,57,02:09:00
980,57,02:09:05
981,57,02:09:20
982,57,02:09:35
983,57,02:09:50
984,57,02:10:00
985,57,02:10:05
986,57,02:10:20
987,57,02:10:35
988,57,02:10:50
989,57,02:11:00
990,58,02:11:05
991,58,02:11:13
992,58,02:11:28
993,58,02:11:43
994,58,02:11:58
995,58,02:12:08
996,58,02:12:23
997,56,02:12:33
998,56,02:12:48
999,56,02:13:03
1000,56,02:13:18
1001,56,02:13:33
1002,57,02:13:38
1003,55,02:13:43
1004,55,02:13:48
1005,55,02:14:03
1006,55,02:14:18
1007,55,02:14:33
1008,55,02:14:43
1009,55,02:14:58
1010,56,02:15:08
1011,55,02:15:23
1012,55,02:15:38
1013,55,02:15:53
1014,54,02:15:58
1015,54,02:16:13
1016,54,02:16:28
1017,54,02:16:43
1018,54,02:16:47
1019,54,02:17:02
1020,54,02:17:17
1021,54,02:17:32
1022,54,02:17:47
1023,54,02:18:02
1024,54,02:18:17
1025,54,02:18:32
1026,55,02:18:37
1027,56,02:18:42
1028,55,02:18:47
1029,55,02:18:57
1030,54,02:19:02
1031,54,02:19:17
1032,55,02:19:27
1033,55,02:19:32
1034,55,02:19:47
1035,55,02:20:02
1036,55,02:20:17
1037,55,02:20:27
1038,55,02:20:32
1039,54,02:20:37
1040,55,02:20:47
1041,73,02:20:52
1042,78,02:20:57
1043,73,02:21:04
1044,68,02:21:09
1045,66,02:21:14
1046,64,02:21:19
1047,59,02:21:24
1048,55,02:21:29
1049,54,02:21:34
1050,54,02:21:39
1051,55,02:21:44
1052,55,02:21:49
1053,56,02:21:54
1054,55,02:21:59
1055,56,02:22:04
1056,56,02:22:19
1057,57,02:22:29
1058,57,02:22:44
1059,57,02:22:59
1060,60,02:23:04
1061,59,02:23:14
1062,58,02:23:29
1063,58,02:23:44
1064,59,02:23:54
1065,65,02:24:04
1066,66,02:24:19
1067,66,02:24:34
1068,66,02:24:39
1069,66,02:24:54
1070,66,02:24:56
1071,66,02:25:11
1072,66,02:25:26
1073,66,02:25:41
1074,66,02:25:56
1075,66,02:26:11
1076,66,02:26:26
1077,66,02:26:41
1078,66,02:26:56
1079,66,02:27:11
1080,66,02:27:26
1081,66,02:27:41
1082,66,02:27:56
1083,66,02:28:11
1084,65,02:28:26
1085,65,02:28:31
1086,65,02:28:36
1087,65,02:28:51
1088,65,02:29:06
1089,65,02:29:16
1090,65,02:29:31
1091,65,02:29:46
1092,65,02:30:01
1093,65,02:30:16
1094,65,02:30:21
1095,65,02:30:36
1096,65,02:30:51
1097,65,02:30:54
1098,65,02:31:09
1099,65,02:31:14
1100,65,02:31:19
1101,65,02:31:34
1102,65,02:31:49
1103,65,02:32:04
1104,65,02:32:19
1105,65,02:32:34
1106,65,02:32:49
1107,65,02:33:04
1108,65,02:33:19
1109,65,02:33:24
1110,65,02:33:29
1111,65,02:33:44
1112,64,02:33:59
1113,60,02:34:04
1114,60,02:34:19
1115,62,02:34:24
1116,63,02:34:29
1117,64,02:34:34
1118,64,02:34:39
1119,64,02:34:54
1120,62,02:35:04
1121,61,02:35:14
1122,61,02:35:29
