,Heart Rate,Time
318,63,00:42:37
319,62,00:42:42
320,63,00:42:47
321,66,00:42:52
322,63,00:42:57
323,62,00:43:04
324,61,00:43:09
325,58,00:43:14
326,58,00:43:24
327,58,00:43:29
328,57,00:43:34
329,56,00:43:49
330,55,00:43:54
331,57,00:43:59
332,57,00:44:04
333,56,00:44:09
334,55,00:44:14
335,56,00:44:19
336,57,00:44:24
337,57,00:44:29
338,58,00:44:34
339,59,00:44:39
340,58,00:44:44
341,58,00:44:49
342,58,00:44:54
343,59,00:44:59
344,58,00:45:04
345,60,00:45:09
346,61,00:45:14
347,60,00:45:19
348,60,00:45:24
349,59,00:45:29
350,59,00:45:35
351,58,00:45:40
352,58,00:45:55
353,61,00:46:05
354,61,00:46:10
355,59,00:46:15
356,58,00:46:20
357,56,00:46:30
358,56,00:46:40
359,59,00:46:50
360,59,00:46:55
361,59,00:47:10
362,60,00:47:15
363,60,00:47:20
364,61,00:47:25
365,61,00:47:30
366,60,00:47:40
367,60,00:47:50
368,62,00:47:55
369,62,00:48:00
370,62,00:48:05
371,61,00:48:10
372,61,00:48:15
373,60,00:48:20
374,61,00:48:25
375,62,00:48:30
376,61,00:48:40
377,60,00:48:47
378,61,00:48:52
379,61,00:48:57
380,59,00:49:02
381,59,00:49:07
382,59,00:49:12
383,59,00:49:17
384,61,00:49:22
385,61,00:49:27
386,59,00:49:32
387,58,00:49:37
388,58,00:49:42
389,58,00:49:47
390,58,00:49:52
391,60,00:50:02
392,60,00:50:07
393,58,00:50:17
394,58,00:50:22
395,59,00:50:32
396,60,00:50:37
397,60,00:50:52
398,59,00:50:57
399,61,00:51:07
400,59,00:51:12
401,59,00:51:17
402,58,00:51:22
403,57,00:51:27
404,57,00:51:33
405,58,00:51:38
406,58,00:51:43
407,61,00:51:48
408,62,00:51:53
409,62,00:52:08
410,63,00:52:18
411,63,00:52:23
412,62,00:52:28
413,60,00:52:33
414,60,00:52:38
415,59,00:52:43
416,61,00:52:48
417,60,00:52:53
418,59,00:52:58
419,60,00:53:13
420,61,00:53:18
421,60,00:53:23
422,60,00:53:33
423,59,00:53:38
424,60,00:53:43
425,61,00:53:48
426,62,00:53:53
427,61,00:54:03
428,61,00:54:08
429,61,00:54:13
430,60,00:54:18
431,60,00:54:25
432,60,00:54:30
433,59,00:54:35
434,60,00:54:45
435,62,00:54:50
436,61,00:54:55
437,62,00:55:00
438,63,00:55:05
439,64,00:55:10
440,63,00:55:15
441,61,00:55:20
442,61,00:55:25
443,62,00:55:35
444,61,00:55:45
445,61,00:55:50
446,62,00:55:55
447,63,00:56:10
448,63,00:56:15
449,63,00:56:20
450,62,00:56:25
451,61,00:56:30
452,61,00:56:35
453,62,00:56:40
454,63,00:56:45
455,64,00:56:55
456,62,00:57:00
457,63,00:57:05
458,62,00:57:11
459,63,00:57:16
460,62,00:57:21
461,61,00:57:26
462,60,00:57:31
463,62,00:57:36
464,63,00:57:41
465,62,00:57:46
466,61,00:57:51
467,61,00:57:56
468,61,00:58:01
469,62,00:58:11
470,62,00:58:21
471,62,00:58:26
472,62,00:58:31
473,62,00:58:36
474,61,00:58:46
475,62,00:58:51
476,63,00:58:56
477,63,00:59:11
478,64,00:59:21
479,62,00:59:26
480,61,00:59:31
481,62,00:59:36
482,62,00:59:41
483,61,00:59:46
484,62,00:59:56
485,62,01:00:03
486,61,01:00:08
487,62,01:00:18
488,63,01:00:23
489,63,01:00:28
490,60,01:00:33
491,59,01:00:43
492,60,01:00:48
493,60,01:00:53
494,61,01:00:58
495,60,01:01:03
496,60,01:01:08
497,61,01:01:13
498,62,01:01:23
499,63,01:01:28
500,65,01:01:33
501,67,01:01:43
502,66,01:01:48
503,65,01:01:53
504,62,01:01:58
505,59,01:02:03
506,57,01:02:08
507,63,01:02:13
508,67,01:02:18
509,61,01:02:23
510,60,01:02:28
511,66,01:02:38
512,66,01:02:45
513,66,01:03:00
514,66,01:03:15
515,67,01:03:20
516,68,01:03:25
517,69,01:03:30
518,69,01:03:45
519,68,01:03:50
520,66,01:04:00
521,66,01:04:15
522,62,01:04:20
523,59,01:04:25
524,55,01:04:30
525,53,01:04:35
526,52,01:04:40
527,52,01:04:50
528,51,01:04:55
529,50,01:05:00
530,52,01:05:10
531,52,01:05:20
532,52,01:05:30
533,51,01:05:35
534,52,01:05:40
535,53,01:05:55
536,53,01:06:10
537,54,01:06:25
538,58,01:06:30
539,56,01:06:37
540,55,01:06:47
541,55,01:06:52
542,54,01:06:57
543,53,01:07:02
544,53,01:07:17
545,54,01:07:27
546,54,01:07:42
547,55,01:07:47
548,56,01:07:52
549,55,01:07:57
550,54,01:08:07
551,53,01:08:17
552,54,01:08:22
553,53,01:08:37
554,54,01:08:42
555,53,01:08:47
556,53,01:09:02
557,55,01:09:07
558,54,01:09:12
559,53,01:09:27
560,54,01:09:32
561,53,01:09:37
562,54,01:09:47
563,55,01:09:57
564,55,01:10:07
565,53,01:10:12
566,53,01:10:19
567,52,01:10:24
568,52,01:10:34
569,53,01:10:39
570,51,01:10:49
571,51,01:10:54
572,52,01:11:04
573,50,01:11:09
574,50,01:11:24
575,51,01:11:29
576,51,01:11:44
577,53,01:11:49
578,56,01:11:54
579,56,01:12:04
580,55,01:12:09
581,54,01:12:14
582,53,01:12:29
583,52,01:12:34
584,51,01:12:49
585,56,01:12:54
586,56,01:12:59
587,55,01:13:04
588,59,01:13:09
589,61,01:13:14
590,59,01:13:19
591,58,01:13:24
592,55,01:13:29
593,58,01:13:35
594,57,01:13:40
595,55,01:13:45
596,54,01:13:55
597,53,01:14:00
598,52,01:14:05
599,53,01:14:10
600,52,01:14:20
601,53,01:14:35
602,56,01:14:40
603,55,01:14:45
604,54,01:14:50
605,53,01:15:00
606,53,01:15:15
607,55,01:15:20
608,54,01:15:25
609,53,01:15:35
610,56,01:15:45
611,55,01:15:50
612,54,01:16:05
613,53,01:16:15
614,54,01:16:20
615,53,01:16:35
616,54,01:16:40
617,55,01:16:45
618,54,01:16:50
619,56,01:17:00
620,55,01:17:07
621,54,01:17:17
622,53,01:17:27
623,54,01:17:32
624,54,01:17:47
625,54,01:18:02
626,53,01:18:07
627,55,01:18:12
628,54,01:18:17
629,55,01:18:27
630,54,01:18:37
631,53,01:18:47
632,54,01:18:57
633,56,01:19:07
634,55,01:19:17
635,54,01:19:22
636,54,01:19:37
637,55,01:19:42
638,54,01:19:47
639,53,01:19:57
640,54,01:20:12
641,53,01:20:27
642,53,01:20:42
643,52,01:20:52
644,53,01:21:07
645,54,01:21:12
646,55,01:21:17
647,55,01:21:25
648,54,01:21:35
649,53,01:21:40
650,54,01:21:55
651,56,01:22:00
652,55,01:22:05
653,54,01:22:10
654,53,01:22:20
655,52,01:22:35
656,53,01:22:40
657,55,01:22:50
658,56,01:22:55
659,55,01:23:00
660,54,01:23:05
661,53,01:23:15
662,53,01:23:30
663,52,01:23:40
664,52,01:23:55
665,51,01:24:10
666,51,01:24:25
667,51,01:24:40
668,50,01:24:45
669,53,01:24:50
670,52,01:25:00
671,52,01:25:15
672,51,01:25:20
673,50,01:25:35
674,50,01:25:37
675,50,01:25:52
676,50,01:26:07
677,51,01:26:12
678,52,01:26:17
679,51,01:26:32
680,51,01:26:47
681,50,01:26:57
682,51,01:27:07
683,52,01:27:12
684,51,01:27:17
685,50,01:27:22
686,49,01:27:27
687,49,01:27:42
688,50,01:27:47
689,49,01:28:02
690,52,01:28:17
691,51,01:28:27
692,52,01:28:37
693,51,01:28:47
694,51,01:29:02
695,50,01:29:12
696,50,01:29:27
697,50,01:29:42
698,49,01:29:52
699,51,01:30:02
700,50,01:30:12
701,51,01:30:19
702,51,01:30:34
703,50,01:30:39
704,50,01:30:54
705,52,01:30:59
706,52,01:31:14
707,53,01:31:24
708,52,01:31:29
709,51,01:31:44
710,51,01:31:59
711,51,01:32:14
712,52,01:32:24
713,52,01:32:39
714,51,01:32:44
715,52,01:32:49
716,51,01:32:59
717,51,01:33:14
718,50,01:33:19
719,49,01:33:34
720,49,01:33:49
721,49,01:34:04
722,50,01:34:14
723,49,01:34:19
724,50,01:34:24
725,49,01:34:29
726,49,01:34:44
727,49,01:34:59
728,49,01:35:02
729,48,01:35:07
730,49,01:35:12
731,48,01:35:17
732,48,01:35:32
733,49,01:35:37
734,49,01:35:52
735,49,01:36:07
736,49,01:36:22
737,48,01:36:27
738,47,01:36:42
739,48,01:36:47
740,48,01:37:02
741,47,01:37:12
742,48,01:37:17
743,47,01:37:22
744,48,01:37:27
745,49,01:37:42
746,49,01:37:57
747,50,01:38:07
748,50,01:38:22
749,49,01:38:27
750,49,01:38:42
751,49,01:38:57
752,48,01:39:02
753,48,01:39:17
754,48,01:39:32
755,48,01:39:34
756,49,01:39:44
757,49,01:39:54
758,49,01:40:04
759,48,01:40:19
760,49,01:40:34
761,51,01:40:39
762,53,01:40:44
763,52,01:40:54
764,52,01:40:59
765,52,01:41:14
766,52,01:41:29
767,52,01:41:44
768,50,01:41:54
769,49,01:41:59
770,48,01:42:04
771,47,01:42:09
772,46,01:42:19
773,46,01:42:34
774,46,01:42:49
775,47,01:42:54
776,48,01:42:59
777,47,01:43:04
778,47,01:43:19
779,47,01:43:29
780,47,01:43:34
781,51,01:43:39
782,52,01:43:47
783,51,01:43:57
784,51,01:44:02
785,51,01:44:07
786,52,01:44:12
787,56,01:44:22
788,55,01:44:32
